Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
Fracture (2008),10/7/2008,Day 1 Studios,LucasArts,Third Person Shooter,Rated T For Teen,6.1,26,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 40 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '63', 'Platform Metascore Count': 'Based on 60 Critic Reviews'}]"
Dead or Alive Paradise,3/30/2010,Team Ninja,Tecmo,Party,Rated M For Mature,7.2,25,"[{'Platform': 'PSP', 'Platform Metascore': '38', 'Platform Metascore Count': 'Based on 34 Critic Reviews'}]"
Contre Jour,8/25/2011,Mokus,Chillingo,Puzzle,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Prey the Stars,10/13/2008,Koei Canada,Koei,Action,Rated E For Everyone,,,"[{'Platform': 'DS', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Don't Knock Twice,9/5/2017,Wales Interactive,Wales Interactive,First-Person Adventure,Rated M For Mature,5.9,11,"[{'Platform': 'PC', 'Platform Metascore': '56', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '53', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '56', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '39', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}]"
Baseball Mogul 2003,4/30/2002,Sports Mogul,Monkeystone,Baseball Sim,Rated E For Everyone,,,"[{'Platform': 'PC', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
The Muppets: Movie Adventures,9/1/2015,Virtual Toys,SCEA,3D Platformer,Rated E For Everyone,6.7,24,"[{'Platform': 'PlayStation Vita', 'Platform Metascore': '48', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Fairy Fencer F: Advent Dark Force,7/26/2016,Compile Heart,Idea Factory,JRPG,Rated T For Teen,7.1,61,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '71', 'Platform Metascore Count': 'Based on 21 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
The Elder Scrolls V: Skyrim Special Edition,11/17/2017,Iron Galaxy Studios,Bethesda Softworks,Western RPG,Rated M For Mature,8.3,842,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 67 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 40 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 24 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Lums,7/23/2013,,,Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
